frame,t_sec,track_id,cls,team,x,y
15,0.6,3,player,1,56.22,59.97
15,0.6,2,player,1,81.15,59.2
15,0.6,6,player,1,91.07,45.68
15,0.6,5,player,0,54.13,51.1
15,0.6,1,referee,3,106.21,80.45
15,0.6,8,player,1,83.61,36.46
15,0.6,7,referee,3,71.95,41.03
15,0.6,4,player,1,86.4,27.86
15,0.6,9,player,0,71.54,33.03
15,0.6,12,player,0,48.04,26.86
15,0.6,11,player,0,59.46,32.25
15,0.6,10,player,0,51.79,36.73
20,0.8,2,player,1,81.43,59.23
20,0.8,3,player,1,56.72,60.27
20,0.8,5,player,0,54.77,51.85
20,0.8,8,player,1,83.28,34.44
20,0.8,1,referee,3,106.18,80.39
20,0.8,6,player,1,90.82,46.33
20,0.8,13,player,1,73.27,34.73
20,0.8,10,player,0,51.86,36.38
20,0.8,12,player,0,48.29,27.24
20,0.8,4,player,1,86.38,28.03
20,0.8,11,player,0,59.68,32.56
20,0.8,9,player,0,71.34,33.93
20,0.8,7,referee,3,71.6,40.86
25,1.0,3,player,1,57.26,60.58
25,1.0,6,player,1,90.56,48.05
25,1.0,13,player,1,73.17,35.32
25,1.0,2,player,1,81.9,59.82
25,1.0,1,referee,3,106.09,80.33
25,1.0,8,player,1,83.37,34.49
25,1.0,9,player,0,71.06,34.42
25,1.0,4,player,1,86.48,28.2
25,1.0,7,referee,3,71.14,40.38
25,1.0,12,player,0,48.63,27.81
25,1.0,10,player,0,51.78,36.33
25,1.0,11,player,0,59.78,32.67
25,1.0,14,player,0,52.95,41.38
25,1.0,5,player,0,55.08,52.09
30,1.2,2,player,1,82.24,60.63
30,1.2,1,referee,3,106.03,80.27
30,1.2,3,player,1,57.75,60.64
30,1.2,6,player,1,90.21,48.1
30,1.2,5,player,0,55.78,52.94
30,1.2,13,player,1,73.48,36.59
30,1.2,8,player,1,83.45,34.64
30,1.2,4,player,1,86.72,28.71
30,1.2,10,player,0,51.89,36.65
30,1.2,12,player,0,48.88,28.23
30,1.2,7,referee,3,70.93,40.44
30,1.2,14,player,0,53.19,42.29
30,1.2,11,player,0,60.12,33.4
30,1.2,9,player,0,71.09,35.85
35,1.4,2,player,1,91.5,66.71
35,1.4,8,player,1,95.63,40.78
35,1.4,1,referee,3,96.62,67.03
35,1.4,15,player,1,77.66,68.39
35,1.4,6,player,1,95.93,49.72
35,1.4,5,player,0,78.78,84.23
35,1.4,13,player,1,91.48,48.27
35,1.4,4,player,1,97.61,33.36
35,1.4,10,player,0,78.77,67.13
35,1.4,14,player,0,78.58,73.54
35,1.4,9,player,0,90.33,49.78
35,1.4,16,player,1,84.1,51.89
35,1.4,11,player,0,85.16,54.26
35,1.4,7,referee,3,89.55,54.05
35,1.4,12,player,0,78.22,57.46
40,1.6,6,player,1,95.98,49.8
40,1.6,8,player,1,95.72,40.83
40,1.6,2,player,1,91.57,67.0
40,1.6,15,player,1,77.4,68.55
40,1.6,13,player,1,91.47,49.14
40,1.6,7,referee,3,89.42,54.14
40,1.6,9,player,0,90.12,50.38
40,1.6,4,player,1,97.72,33.73
40,1.6,17,player,0,85.48,45.45
40,1.6,19,player,1,75.65,52.77
40,1.6,1,referee,3,96.65,66.98
40,1.6,10,player,0,78.59,67.3
40,1.6,14,player,0,78.42,74.25
40,1.6,12,player,0,78.21,57.82
40,1.6,16,player,1,83.93,52.07
40,1.6,18,player,0,96.89,32.7
40,1.6,11,player,0,85.16,55.0
45,1.8,2,player,1,70.13,48.91
45,1.8,13,player,1,82.97,38.11
45,1.8,8,player,1,89.2,34.54
45,1.8,12,player,0,76.62,37.17
45,1.8,10,player,0,67.92,44.92
45,1.8,1,referee,3,71.22,49.65
45,1.8,17,player,0,87.7,31.62
45,1.8,9,player,0,81.42,38.81
45,1.8,15,player,1,66.93,45.09
45,1.8,16,player,1,81.94,35.71
45,1.8,14,player,0,62.07,49.85
45,1.8,11,player,0,78.98,38.86
45,1.8,7,referee,3,79.7,40.06
50,2.0,13,player,1,82.05,39.65
50,2.0,8,player,1,88.45,35.38
50,2.0,16,player,1,81.19,36.91
50,2.0,2,player,1,70.84,50.49
50,2.0,12,player,0,75.75,38.82
50,2.0,1,referee,3,72.73,50.45
50,2.0,14,player,0,62.63,52.07
50,2.0,9,referee,3,79.62,41.18
50,2.0,11,player,0,78.36,40.4
50,2.0,15,player,1,67.3,46.71
50,2.0,10,player,0,67.71,47.02
50,2.0,17,player,0,86.67,32.42
55,2.2,14,player,0,62.28,53.19
55,2.2,2,player,1,70.53,51.26
55,2.2,9,referee,3,79.13,41.84
55,2.2,21,player,1,99.13,24.03
55,2.2,17,player,0,86.47,32.79
55,2.2,15,player,1,67.45,47.11
55,2.2,11,player,0,78.01,41.1
55,2.2,16,player,1,80.86,37.51
55,2.2,1,referee,3,72.52,51.01
55,2.2,10,player,0,67.38,47.97
55,2.2,13,player,1,81.72,40.18
55,2.2,12,player,0,75.01,40.01
55,2.2,8,player,1,88.17,35.72
55,2.2,20,player,0,85.56,29.57
60,2.4,2,player,1,70.18,51.65
60,2.4,22,player,1,81.32,42.34
60,2.4,1,referee,3,73.06,50.67
60,2.4,14,player,0,61.78,53.57
60,2.4,13,player,1,81.07,40.77
60,2.4,17,player,0,86.3,32.8
60,2.4,8,player,1,88.02,35.83
60,2.4,21,player,1,99.06,23.79
60,2.4,16,player,1,80.6,37.63
60,2.4,10,player,0,67.07,48.2
60,2.4,11,player,0,77.6,41.45
60,2.4,12,player,0,74.43,40.32
60,2.4,9,referee,3,79.0,41.86
60,2.4,20,player,0,84.86,29.92
60,2.4,15,player,1,68.0,46.32
65,2.6,2,player,1,66.97,40.73
65,2.6,9,referee,3,78.09,35.98
65,2.6,22,player,1,80.48,35.85
65,2.6,13,player,1,80.43,35.33
65,2.6,1,referee,3,70.23,40.01
65,2.6,12,player,0,74.23,36.07
65,2.6,16,player,1,80.45,34.38
65,2.6,8,player,1,88.78,32.55
65,2.6,20,player,0,85.2,31.73
65,2.6,11,player,0,76.57,36.14
65,2.6,4,player,0,95.04,30.21
65,2.6,15,player,1,69.27,37.83
65,2.6,7,player,0,77.32,36.21
65,2.6,21,player,1,100.15,27.65
65,2.6,14,player,0,59.31,42.11
65,2.6,17,player,0,85.86,32.46
70,2.8,22,player,1,79.99,35.94
70,2.8,2,player,1,65.79,40.78
70,2.8,14,player,0,57.97,42.29
70,2.8,16,player,1,79.32,34.88
70,2.8,13,player,1,79.06,35.79
70,2.8,1,referee,3,69.2,40.02
70,2.8,21,player,1,100.3,28.0
70,2.8,17,player,0,84.86,33.02
70,2.8,20,player,0,83.37,32.71
70,2.8,7,player,0,76.07,36.56
70,2.8,11,player,0,75.44,36.53
70,2.8,9,referee,3,77.04,36.3
70,2.8,15,player,1,66.48,38.93
70,2.8,8,player,1,88.2,32.87
70,2.8,12,player,0,72.87,36.58
70,2.8,4,player,0,94.5,30.65
75,3.0,2,player,1,65.3,41.32
75,3.0,22,player,1,79.44,36.3
75,3.0,13,player,1,78.3,36.27
75,3.0,24,player,0,79.59,36.1
75,3.0,16,player,1,78.71,35.37
75,3.0,23,player,1,93.57,31.03
75,3.0,11,player,0,74.87,37.04
75,3.0,14,player,0,56.95,43.26
75,3.0,12,player,0,71.48,37.51
75,3.0,9,referee,3,76.23,36.81
75,3.0,20,player,0,82.46,33.28
75,3.0,21,player,1,99.67,28.13
75,3.0,1,referee,3,69.07,40.33
75,3.0,15,player,1,65.41,39.82
75,3.0,17,player,0,84.41,33.38
75,3.0,4,player,0,93.8,30.87
80,3.2,25,player,0,55.49,44.59
80,3.2,2,player,1,65.72,41.4
80,3.2,22,player,1,80.03,36.09
80,3.2,24,player,0,79.64,36.05
80,3.2,15,player,1,66.54,39.24
80,3.2,9,referee,3,76.59,36.57
80,3.2,14,player,0,57.16,43.32
80,3.2,1,referee,3,69.38,40.45
80,3.2,17,player,0,84.98,32.85
80,3.2,13,player,1,78.18,36.25
80,3.2,12,player,0,72.2,36.97
80,3.2,21,player,1,99.75,27.59
80,3.2,20,player,0,82.33,32.9
80,3.2,11,player,0,75.53,36.64
80,3.2,26,referee,3,116.12,18.66
80,3.2,23,player,1,93.52,30.79
85,3.4,25,player,0,54.48,45.24
85,3.4,22,player,1,79.7,36.38
85,3.4,2,player,1,65.73,41.62
85,3.4,23,player,1,93.39,30.91
85,3.4,1,referee,3,68.69,40.92
85,3.4,15,player,1,66.18,39.57
85,3.4,16,player,1,78.92,35.18
85,3.4,13,player,1,77.84,36.53
85,3.4,20,player,0,82.08,33.14
85,3.4,9,referee,3,76.17,36.85
85,3.4,11,player,0,74.57,37.2
85,3.4,14,player,0,56.41,43.86
85,3.4,4,player,0,93.76,30.69
85,3.4,12,player,0,71.65,37.37
85,3.4,27,player,1,76.97,35.13
85,3.4,21,player,1,99.04,27.89
85,3.4,17,player,0,85.06,32.93
85,3.4,24,player,0,79.01,36.44
85,3.4,26,referee,3,114.84,19.23
90,3.6,22,player,1,91.89,51.22
90,3.6,2,player,1,82.27,63.7
90,3.6,25,player,0,59.09,59.56
90,3.6,15,player,1,42.12,40.85
90,3.6,24,player,0,81.56,49.8
90,3.6,13,player,1,67.76,44.97
90,3.6,14,player,0,48.57,51.13
90,3.6,23,player,1,83.27,33.22
90,3.6,12,player,0,41.34,37.9
90,3.6,17,player,0,51.43,33.76
90,3.6,7,referee,3,59.23,43.09
